epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9303,1.12165,1.68925,1.90672,0.08394,0.96487,0.96648,0.98048,0.79712,0.75594,0.59102,1.47694,0.01711,0.000550165,0.000550165,0.000550165
2,71.2556,0.958,0.68248,1.42849,0.05594,0.96844,0.98101,0.98648,0.83163,0.68723,0.43351,1.29153,0.0239,0.00109853,0.00109853,0.00109853
3,107.235,0.91898,0.58404,1.36607,0.05408,0.98547,0.97207,0.98394,0.82181,0.69727,0.43428,1.28884,0.01933,0.00163957,0.00163957,0.00163957
4,139.694,0.88578,0.54662,1.35521,0.04878,0.9754,0.96089,0.98039,0.83564,0.63664,0.42929,1.27093,0.02003,0.00163399,0.00163399,0.00163399
5,169.766,0.89056,0.53552,1.3641,0.04712,0.991,0.98409,0.99208,0.85446,0.63755,0.38908,1.24027,0.02458,0.00162299,0.00162299,0.00162299
6,201.971,0.86173,0.50488,1.33878,0.04456,0.98655,0.98337,0.99388,0.84594,0.64741,0.3599,1.26546,0.01402,0.00161199,0.00161199,0.00161199
7,233.038,0.85799,0.49507,1.33349,0.04319,0.9902,0.98324,0.99427,0.85182,0.63161,0.34401,1.25414,0.02359,0.00160099,0.00160099,0.00160099
8,264.136,0.83891,0.47438,1.3279,0.0417,0.99502,0.98324,0.9943,0.86085,0.60458,0.36652,1.21985,0.01514,0.00158998,0.00158998,0.00158998
9,297.952,0.85291,0.47343,1.32473,0.04045,0.99606,0.97765,0.9929,0.83879,0.64692,0.37787,1.25978,0.02552,0.00157898,0.00157898,0.00157898
10,331.948,0.82061,0.46136,1.30406,0.03968,0.99437,0.98617,0.99478,0.86566,0.60302,0.3452,1.22036,0.01856,0.00156798,0.00156798,0.00156798
11,369.979,0.81532,0.44899,1.30347,0.03706,0.99635,0.98771,0.9945,0.84871,0.61852,0.33139,1.22952,0.01486,0.00155698,0.00155698,0.00155698
12,419.526,0.81283,0.44891,1.2945,0.03663,0.99213,0.98562,0.99442,0.86245,0.61359,0.32725,1.22853,0.02328,0.00154598,0.00154598,0.00154598
13,465.267,0.81788,0.44784,1.29592,0.0385,0.97028,0.98494,0.99208,0.86278,0.5962,0.36744,1.21809,0.02712,0.00153497,0.00153497,0.00153497
14,501.092,0.78857,0.42555,1.27228,0.03601,0.99886,0.98292,0.9937,0.85728,0.60322,0.33401,1.22201,0.0182,0.00152397,0.00152397,0.00152397
15,534.722,0.79856,0.43949,1.27677,0.03464,0.99882,0.98771,0.99479,0.86989,0.59868,0.32096,1.21284,0.01796,0.00151297,0.00151297,0.00151297
16,569.135,0.78458,0.42663,1.26913,0.03227,0.99661,0.98558,0.99483,0.8808,0.57166,0.32476,1.19628,0.01468,0.00150197,0.00150197,0.00150197
17,602.705,0.79449,0.43108,1.27595,0.03285,0.99629,0.98659,0.99437,0.86402,0.58782,0.32368,1.20123,0.01393,0.00149096,0.00149096,0.00149096
18,636.86,0.78249,0.42207,1.27561,0.03202,0.99662,0.98773,0.99474,0.87506,0.55885,0.30594,1.19087,0.01647,0.00147996,0.00147996,0.00147996
19,670.212,0.78844,0.43014,1.2836,0.03376,0.98946,0.99218,0.99472,0.86935,0.59148,0.31394,1.22494,0.00957,0.00146896,0.00146896,0.00146896
20,701.958,0.76559,0.41594,1.26888,0.03177,0.99694,0.98324,0.99453,0.87453,0.57376,0.30427,1.20984,0.00969,0.00145796,0.00145796,0.00145796
21,733.416,0.75908,0.41202,1.25612,0.03172,0.99868,0.98101,0.99333,0.87356,0.56773,0.29999,1.21458,0.01466,0.00144696,0.00144696,0.00144696
22,767.014,0.78291,0.42106,1.27935,0.032,0.9966,0.98282,0.99476,0.88075,0.57241,0.30918,1.18467,0.01158,0.00143595,0.00143595,0.00143595
23,798.778,0.76468,0.40957,1.25517,0.03069,0.99101,0.99106,0.99483,0.8897,0.55013,0.30396,1.17636,0.01075,0.00142495,0.00142495,0.00142495
24,831.264,0.75858,0.40005,1.25284,0.03039,0.99326,0.9883,0.99478,0.88368,0.54562,0.29886,1.18667,0.01025,0.00141395,0.00141395,0.00141395
25,862.119,0.77071,0.41737,1.25499,0.03005,0.99549,0.98596,0.99455,0.87643,0.56695,0.31717,1.19081,0.02874,0.00140295,0.00140295,0.00140295
26,893.295,0.75974,0.4065,1.24827,0.02859,0.99327,0.98884,0.99468,0.88938,0.53768,0.28689,1.17427,0.01336,0.00139195,0.00139195,0.00139195
