epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,499.183,0.66411,0.33036,1.34245,0.0088,0.9998,0.98603,0.99227,0.85272,0.70408,0.33036,1.35344,0.00476,0.0012872,0.0012872,0.0012872
38,512.322,0.67037,0.33168,1.34586,0.009,0.9997,0.98603,0.99377,0.85389,0.69753,0.31742,1.35017,0.00718,0.0012674,0.0012674,0.0012674
39,525.272,0.6523,0.32539,1.35139,0.00876,0.99981,0.98603,0.985,0.84327,0.71518,0.32692,1.35445,0.00686,0.0012476,0.0012476,0.0012476
40,538.249,0.66877,0.33766,1.33537,0.00852,0.9998,0.98603,0.99254,0.84563,0.71217,0.32906,1.35463,0.00484,0.0012278,0.0012278,0.0012278
41,551.27,0.64403,0.32664,1.32448,0.00722,0.99981,0.98603,0.99268,0.84259,0.70987,0.32495,1.34048,0.00499,0.001208,0.001208,0.001208
42,564.238,0.64954,0.32676,1.32536,0.00704,0.99973,0.98603,0.99219,0.85332,0.69872,0.30122,1.32726,0.00515,0.0011882,0.0011882,0.0011882
43,577.249,0.65267,0.32174,1.31664,0.00826,0.9998,0.98603,0.985,0.84147,0.7007,0.31578,1.34074,0.00906,0.0011684,0.0011684,0.0011684
44,590.286,0.65133,0.32607,1.32979,0.00721,0.99979,0.98603,0.99267,0.84863,0.6928,0.31397,1.34488,0.00516,0.0011486,0.0011486,0.0011486
45,603.294,0.65622,0.32117,1.33312,0.00839,0.99973,0.98603,0.99141,0.85041,0.69815,0.31472,1.33847,0.00445,0.0011288,0.0011288,0.0011288
46,616.325,0.63975,0.32059,1.31389,0.0073,0.9998,0.98603,0.985,0.84845,0.68212,0.32219,1.3223,0.00595,0.001109,0.001109,0.001109
47,629.491,0.63626,0.3112,1.32214,0.00625,0.99981,0.98603,0.985,0.85295,0.68776,0.30292,1.32597,0.00556,0.0010892,0.0010892,0.0010892
48,642.501,0.64192,0.32374,1.32891,0.00697,0.9998,0.98603,0.985,0.84393,0.70302,0.31608,1.35544,0.00499,0.0010694,0.0010694,0.0010694
49,655.441,0.65342,0.3232,1.32994,0.00762,0.99981,0.98603,0.99377,0.85384,0.69963,0.32855,1.33992,0.00361,0.0010496,0.0010496,0.0010496
50,668.439,0.63791,0.31831,1.32848,0.00805,0.99977,0.98603,0.99238,0.85604,0.69614,0.31087,1.33457,0.00714,0.0010298,0.0010298,0.0010298
51,681.497,0.63106,0.30999,1.30527,0.00614,0.99979,0.98603,0.993,0.85486,0.69701,0.31825,1.34583,0.00522,0.00101,0.00101,0.00101
52,694.758,0.62689,0.30797,1.31142,0.00633,0.99976,0.98603,0.985,0.85456,0.6874,0.30869,1.33361,0.00492,0.0009902,0.0009902,0.0009902
53,707.854,0.64094,0.31345,1.31957,0.00758,0.99978,0.98603,0.985,0.84727,0.69107,0.3092,1.33363,0.00491,0.0009704,0.0009704,0.0009704
54,720.846,0.64166,0.31122,1.32216,0.00668,0.99977,0.98603,0.985,0.85148,0.68551,0.31576,1.31856,0.00479,0.0009506,0.0009506,0.0009506
55,733.871,0.6314,0.31445,1.32513,0.00735,0.99978,0.98603,0.99262,0.85301,0.69701,0.31395,1.3185,0.00375,0.0009308,0.0009308,0.0009308
56,746.82,0.61929,0.30319,1.31166,0.00603,0.99979,0.98603,0.99224,0.85409,0.69063,0.30955,1.33134,0.00322,0.000911,0.000911,0.000911
57,759.72,0.64162,0.30366,1.32396,0.00552,0.99981,0.98603,0.985,0.84468,0.70594,0.31227,1.36685,0.00774,0.0008912,0.0008912,0.0008912
58,772.789,0.62337,0.30145,1.30543,0.00687,0.99981,0.98603,0.985,0.85324,0.69159,0.30471,1.32975,0.00516,0.0008714,0.0008714,0.0008714
59,785.826,0.62299,0.3107,1.29919,0.00615,0.99979,0.98603,0.99233,0.85712,0.67249,0.29697,1.31679,0.00336,0.0008516,0.0008516,0.0008516
60,798.921,0.62637,0.30588,1.30805,0.00688,0.99979,0.98603,0.99357,0.85381,0.6961,0.30901,1.33423,0.00619,0.0008318,0.0008318,0.0008318
61,812.021,0.62405,0.29544,1.31026,0.00628,0.99981,0.98603,0.985,0.84837,0.69213,0.30907,1.33125,0.00511,0.000812,0.000812,0.000812
62,825.076,0.63342,0.3157,1.30822,0.00664,0.9998,0.98603,0.985,0.85195,0.68727,0.30909,1.33843,0.00461,0.0007922,0.0007922,0.0007922
63,839.319,0.62442,0.30719,1.29293,0.00564,0.99979,0.98603,0.985,0.84931,0.71135,0.32916,1.3604,0.0039,0.0007724,0.0007724,0.0007724
64,852.406,0.63749,0.31855,1.3251,0.007,0.9998,0.98603,0.99263,0.84969,0.7053,0.30167,1.33289,0.00413,0.0007526,0.0007526,0.0007526
65,865.606,0.61975,0.29414,1.30216,0.0056,0.9998,0.98603,0.985,0.84913,0.68537,0.30799,1.32645,0.00348,0.0007328,0.0007328,0.0007328
66,878.738,0.604,0.29786,1.29212,0.0056,0.99976,0.98603,0.985,0.84736,0.68575,0.30601,1.32563,0.0046,0.000713,0.000713,0.000713
67,891.886,0.61343,0.29304,1.29651,0.00586,0.9998,0.98603,0.985,0.8478,0.69107,0.30262,1.32774,0.00397,0.0006932,0.0006932,0.0006932
68,904.938,0.61671,0.29866,1.29457,0.00651,0.99979,0.98603,0.985,0.84825,0.68212,0.31728,1.32725,0.00463,0.0006734,0.0006734,0.0006734
69,918.019,0.60535,0.29418,1.28821,0.00606,0.9998,0.98603,0.985,0.84737,0.69002,0.31015,1.32014,0.00509,0.0006536,0.0006536,0.0006536
70,931.138,0.61452,0.30802,1.29223,0.00622,0.99979,0.98603,0.99322,0.85109,0.70278,0.30403,1.3556,0.00533,0.0006338,0.0006338,0.0006338
71,944.261,0.61074,0.29782,1.29934,0.00712,0.99979,0.98603,0.985,0.85143,0.69677,0.31424,1.34218,0.00524,0.000614,0.000614,0.000614
72,957.327,0.61141,0.28986,1.28806,0.00571,0.99981,0.98603,0.985,0.85076,0.70468,0.30503,1.35408,0.00574,0.0005942,0.0005942,0.0005942
73,970.369,0.60948,0.29675,1.29262,0.00565,0.9998,0.98603,0.985,0.84903,0.68461,0.30001,1.3195,0.0051,0.0005744,0.0005744,0.0005744
74,983.52,0.61021,0.29792,1.29387,0.00571,0.99979,0.98603,0.985,0.84971,0.69757,0.30468,1.33017,0.00538,0.0005546,0.0005546,0.0005546
75,996.557,0.59405,0.28544,1.26843,0.0055,0.9998,0.98603,0.985,0.848,0.68653,0.29396,1.33494,0.00355,0.0005348,0.0005348,0.0005348
76,1009.58,0.59619,0.28772,1.27691,0.00628,0.9998,0.98603,0.985,0.8473,0.69538,0.30421,1.33612,0.00358,0.000515,0.000515,0.000515
77,1022.63,0.60191,0.28826,1.27582,0.00636,0.99977,0.98603,0.985,0.84537,0.69892,0.29822,1.33382,0.0039,0.0004952,0.0004952,0.0004952
78,1035.86,0.59662,0.29029,1.2715,0.00643,0.99976,0.98603,0.985,0.85115,0.70197,0.31421,1.34899,0.00669,0.0004754,0.0004754,0.0004754
79,1048.88,0.60296,0.29133,1.28182,0.00525,0.99979,0.98603,0.99275,0.85245,0.69336,0.29815,1.34869,0.00368,0.0004556,0.0004556,0.0004556
80,1062.03,0.58675,0.28916,1.26606,0.00569,0.99977,0.98603,0.985,0.8465,0.69936,0.29652,1.357,0.0042,0.0004358,0.0004358,0.0004358
81,1075.12,0.59369,0.28509,1.26364,0.0061,0.99979,0.98603,0.985,0.85099,0.69381,0.30085,1.34697,0.00506,0.000416,0.000416,0.000416
82,1088.27,0.60084,0.29346,1.28421,0.00707,0.99978,0.98603,0.985,0.84665,0.69692,0.30418,1.34544,0.00451,0.0003962,0.0003962,0.0003962
83,1101.41,0.59386,0.28221,1.26731,0.00567,0.99979,0.98603,0.985,0.85071,0.6955,0.30411,1.3593,0.00406,0.0003764,0.0003764,0.0003764
84,1114.6,0.58516,0.28606,1.25497,0.00544,0.9998,0.98603,0.985,0.84859,0.69286,0.29164,1.35213,0.00338,0.0003566,0.0003566,0.0003566
85,1127.65,0.58789,0.28754,1.27002,0.00481,0.99979,0.98603,0.985,0.84438,0.71074,0.29801,1.39168,0.00357,0.0003368,0.0003368,0.0003368
86,1140.73,0.58359,0.2832,1.27023,0.00479,0.99979,0.98603,0.985,0.84708,0.69003,0.29427,1.33871,0.0052,0.000317,0.000317,0.000317
87,1153.85,0.58081,0.27709,1.26375,0.00507,0.99977,0.98603,0.985,0.85114,0.68442,0.30753,1.33147,0.00393,0.0002972,0.0002972,0.0002972
88,1167.12,0.58587,0.29357,1.26701,0.00512,0.99976,0.98603,0.985,0.85176,0.68728,0.30853,1.32897,0.00447,0.0002774,0.0002774,0.0002774
89,1180.17,0.57134,0.276,1.24514,0.00464,0.99979,0.98603,0.985,0.85126,0.69563,0.30214,1.34362,0.00514,0.0002576,0.0002576,0.0002576
90,1193.18,0.58264,0.28151,1.26154,0.00618,0.99972,0.98603,0.985,0.84956,0.6988,0.29963,1.37132,0.00341,0.0002378,0.0002378,0.0002378
91,1215.3,0.53959,0.25248,1.24597,0.00386,0.99975,0.98603,0.985,0.85133,0.69144,0.29697,1.35108,0.00402,0.000218,0.000218,0.000218
92,1229.05,0.53919,0.24847,1.2522,0.00356,0.99979,0.98603,0.985,0.84803,0.68749,0.29594,1.34115,0.00396,0.0001982,0.0001982,0.0001982
93,1242.55,0.5306,0.24664,1.2435,0.00341,0.99978,0.98603,0.985,0.84917,0.69117,0.29702,1.33911,0.00396,0.0001784,0.0001784,0.0001784
94,1255.6,0.53003,0.24773,1.23133,0.00316,0.99979,0.98603,0.985,0.84884,0.69366,0.29179,1.35833,0.0037,0.0001586,0.0001586,0.0001586
95,1268.6,0.52301,0.24858,1.23323,0.00385,0.99977,0.98603,0.985,0.84598,0.69458,0.29291,1.34122,0.00386,0.0001388,0.0001388,0.0001388
96,1281.55,0.52681,0.24241,1.23407,0.00331,0.99979,0.98603,0.985,0.8505,0.69161,0.29198,1.34818,0.00384,0.000119,0.000119,0.000119
97,1294.52,0.52489,0.24626,1.23661,0.00369,0.99974,0.98603,0.985,0.85079,0.68626,0.28787,1.33422,0.0038,9.92e-05,9.92e-05,9.92e-05
98,1307.56,0.52004,0.24174,1.22948,0.0035,0.99979,0.98603,0.985,0.85021,0.68682,0.28604,1.33885,0.00399,7.94e-05,7.94e-05,7.94e-05
99,1320.6,0.52767,0.24521,1.23405,0.00389,0.99979,0.98603,0.985,0.84793,0.69056,0.28587,1.34033,0.00401,5.96e-05,5.96e-05,5.96e-05
100,1333.55,0.5191,0.24339,1.22661,0.00369,0.99979,0.98603,0.985,0.84794,0.69111,0.29415,1.34047,0.00398,3.98e-05,3.98e-05,3.98e-05
