epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,1272.91,0.60273,0.34327,1.12821,0.00252,0.99644,0.99106,0.99463,0.90637,0.49794,0.26542,1.10219,0.00254,0.00107288,0.00107288,0.00107288
38,1306.47,0.60471,0.34254,1.13193,0.00304,0.99398,0.99106,0.99441,0.90277,0.51135,0.27104,1.10166,0.00222,0.00105638,0.00105638,0.00105638
39,1339.77,0.59718,0.33591,1.12785,0.00258,0.99637,0.99218,0.99471,0.90343,0.50083,0.26524,1.09728,0.00179,0.00103987,0.00103987,0.00103987
40,1374.25,0.60359,0.33357,1.13422,0.00296,0.99647,0.98883,0.99447,0.90601,0.50202,0.2628,1.11352,0.00141,0.00102337,0.00102337,0.00102337
41,1407.14,0.59568,0.32701,1.12324,0.00246,0.99544,0.98994,0.99458,0.90213,0.4977,0.26606,1.09556,0.00205,0.00100687,0.00100687,0.00100687
42,1440.56,0.60003,0.3373,1.13202,0.00263,0.99312,0.99218,0.99448,0.90336,0.50119,0.26079,1.09971,0.00208,0.000990365,0.000990365,0.000990365
43,1473.81,0.58997,0.33508,1.12137,0.00339,0.99397,0.99106,0.99454,0.90417,0.49832,0.2604,1.10036,0.00157,0.000973861,0.000973861,0.000973861
44,1507.03,0.57968,0.32466,1.10995,0.00313,0.99534,0.99106,0.9947,0.90306,0.49928,0.26203,1.0995,0.00155,0.000957358,0.000957358,0.000957358
45,1541.3,0.58206,0.32473,1.11417,0.00248,0.99728,0.98994,0.9946,0.91065,0.49003,0.25243,1.09601,0.00163,0.000940855,0.000940855,0.000940855
46,1576.58,0.58207,0.32567,1.12331,0.003,0.99775,0.98943,0.99466,0.90714,0.49576,0.26732,1.0926,0.00159,0.000924352,0.000924352,0.000924352
47,1610.24,0.58451,0.32716,1.11591,0.00228,0.99408,0.99218,0.99456,0.90752,0.49314,0.26153,1.09128,0.00273,0.000907848,0.000907848,0.000907848
48,1644.21,0.58125,0.32171,1.11753,0.00277,0.99775,0.99101,0.99462,0.90622,0.49897,0.2584,1.09532,0.00155,0.000891345,0.000891345,0.000891345
49,1678.67,0.57011,0.32319,1.09876,0.00218,0.99439,0.99095,0.99464,0.90918,0.48857,0.25801,1.09173,0.00153,0.000874842,0.000874842,0.000874842
50,1713.41,0.57313,0.3179,1.10873,0.00269,0.9944,0.99198,0.99441,0.90589,0.48634,0.25789,1.09193,0.00195,0.000858338,0.000858338,0.000858338
51,1747.67,0.56735,0.31619,1.10075,0.00246,0.99539,0.99218,0.99447,0.9048,0.49606,0.25613,1.08477,0.00139,0.000841835,0.000841835,0.000841835
52,1781.37,0.56556,0.3143,1.10646,0.0024,0.99886,0.98994,0.99447,0.90829,0.48607,0.2523,1.08908,0.00133,0.000825332,0.000825332,0.000825332
53,1814.07,0.56539,0.31328,1.10201,0.00238,0.99775,0.99088,0.99439,0.90476,0.48822,0.26106,1.09618,0.00144,0.000808828,0.000808828,0.000808828
54,1848.05,0.57171,0.319,1.11283,0.00277,0.9944,0.99183,0.99437,0.90506,0.4855,0.25972,1.0929,0.00195,0.000792325,0.000792325,0.000792325
55,1882.35,0.56142,0.30702,1.10295,0.00274,0.99663,0.99103,0.99452,0.90686,0.48592,0.25484,1.0871,0.00188,0.000775822,0.000775822,0.000775822
56,1916.71,0.56483,0.31366,1.10632,0.00292,0.99521,0.99106,0.99451,0.91235,0.47917,0.2528,1.08659,0.00215,0.000759318,0.000759318,0.000759318
57,1950.44,0.55872,0.3028,1.09809,0.00244,0.99629,0.98994,0.99449,0.90774,0.48593,0.24367,1.09185,0.00196,0.000742815,0.000742815,0.000742815
58,1984.11,0.55677,0.30468,1.09137,0.00241,0.99678,0.99106,0.99449,0.90822,0.4823,0.25015,1.08638,0.00275,0.000726312,0.000726312,0.000726312
59,2019.07,0.55443,0.3083,1.09599,0.00244,0.99663,0.99081,0.99461,0.90731,0.48204,0.24806,1.08907,0.00125,0.000709809,0.000709809,0.000709809
60,2053.47,0.55383,0.30614,1.09428,0.00227,0.99628,0.99106,0.99455,0.91293,0.48026,0.24732,1.07804,0.00178,0.000693305,0.000693305,0.000693305
61,2088.61,0.54593,0.30498,1.08371,0.00278,0.99625,0.99106,0.99466,0.91076,0.47886,0.24616,1.08431,0.00151,0.000676802,0.000676802,0.000676802
62,2122.17,0.54032,0.29499,1.08439,0.00204,0.99638,0.98994,0.99463,0.91224,0.47496,0.24369,1.0806,0.00166,0.000660299,0.000660299,0.000660299
63,2156.33,0.54962,0.30478,1.08605,0.00236,0.99808,0.98883,0.99464,0.91128,0.48062,0.23814,1.08329,0.00121,0.000643795,0.000643795,0.000643795
64,2190.97,0.54757,0.30399,1.08434,0.00182,0.99546,0.99106,0.99454,0.91171,0.4816,0.24232,1.08413,0.00181,0.000627292,0.000627292,0.000627292
65,2225.46,0.54974,0.30219,1.08592,0.00192,0.99418,0.99218,0.99443,0.9083,0.47693,0.25163,1.07629,0.00139,0.000610789,0.000610789,0.000610789
66,2259.54,0.53463,0.29497,1.07704,0.00205,0.99887,0.99099,0.99458,0.91047,0.47717,0.24706,1.08159,0.0016,0.000594286,0.000594286,0.000594286
67,2292.65,0.53589,0.29109,1.08288,0.00211,0.99823,0.98994,0.9944,0.91348,0.47888,0.24561,1.08203,0.00244,0.000577782,0.000577782,0.000577782
68,2326.83,0.53923,0.29357,1.08134,0.00212,0.99662,0.98926,0.9945,0.91132,0.47392,0.23635,1.08136,0.00138,0.000561279,0.000561279,0.000561279
69,2359.55,0.53906,0.2961,1.08058,0.00236,0.99408,0.99106,0.99448,0.90863,0.47194,0.23948,1.07601,0.00159,0.000544776,0.000544776,0.000544776
70,2392.66,0.53046,0.28988,1.08751,0.00233,0.99577,0.99106,0.99447,0.91194,0.48046,0.24652,1.08389,0.00151,0.000528272,0.000528272,0.000528272
71,2425.11,0.52489,0.28841,1.07113,0.00198,0.99662,0.98963,0.99453,0.91397,0.47465,0.24268,1.07572,0.00176,0.000511769,0.000511769,0.000511769
72,2458.88,0.53685,0.29298,1.08217,0.00228,0.99739,0.98994,0.99462,0.91226,0.47881,0.23968,1.08223,0.00182,0.000495266,0.000495266,0.000495266
73,2491.64,0.53153,0.29263,1.07851,0.00219,0.99827,0.98883,0.99452,0.91244,0.47522,0.24111,1.07915,0.00143,0.000478762,0.000478762,0.000478762
74,2525.08,0.52577,0.2851,1.07915,0.00193,0.99775,0.98898,0.99453,0.91614,0.47364,0.2396,1.07809,0.00155,0.000462259,0.000462259,0.000462259
75,2559.03,0.53094,0.28939,1.07904,0.00209,0.998,0.98883,0.99453,0.91384,0.47294,0.23899,1.07487,0.00172,0.000445756,0.000445756,0.000445756
76,2592.48,0.52947,0.28713,1.07704,0.00217,0.99534,0.99106,0.99453,0.91167,0.4735,0.23914,1.07705,0.00165,0.000429253,0.000429253,0.000429253
77,2624.99,0.51115,0.28211,1.06263,0.00214,0.99651,0.99106,0.99455,0.91293,0.47132,0.23741,1.07633,0.00168,0.000412749,0.000412749,0.000412749
78,2657.58,0.51862,0.28234,1.06485,0.0017,0.99538,0.99218,0.9946,0.91397,0.47557,0.23657,1.07331,0.00194,0.000396246,0.000396246,0.000396246
79,2690.24,0.52155,0.28941,1.0723,0.00229,0.99517,0.99218,0.99459,0.9105,0.47431,0.23489,1.07615,0.00151,0.000379743,0.000379743,0.000379743
80,2722.8,0.51071,0.28088,1.05951,0.00227,0.99438,0.99218,0.99446,0.91538,0.46936,0.23306,1.07279,0.00194,0.000363239,0.000363239,0.000363239
81,2755.58,0.51585,0.28491,1.0687,0.00183,0.99551,0.99166,0.99458,0.91422,0.47279,0.23675,1.07075,0.00138,0.000346736,0.000346736,0.000346736
82,2789.03,0.51439,0.2779,1.06439,0.0019,0.9952,0.99218,0.99463,0.91496,0.46945,0.23299,1.07679,0.00137,0.000330233,0.000330233,0.000330233
83,2822.17,0.5131,0.27779,1.06392,0.00172,0.99551,0.99176,0.99455,0.91493,0.46688,0.23491,1.07495,0.00129,0.000313729,0.000313729,0.000313729
84,2855.75,0.50601,0.27551,1.05886,0.00193,0.99407,0.99218,0.99451,0.91136,0.4718,0.23612,1.07689,0.00148,0.000297226,0.000297226,0.000297226
85,2890.3,0.50394,0.27406,1.05229,0.0017,0.99552,0.99215,0.99451,0.91427,0.46874,0.23072,1.07291,0.00157,0.000280723,0.000280723,0.000280723
86,2926.35,0.50341,0.27607,1.05223,0.00201,0.99663,0.99194,0.99447,0.91335,0.46918,0.23375,1.07241,0.00144,0.00026422,0.00026422,0.00026422
87,2958.23,0.50234,0.2731,1.05747,0.0019,0.99531,0.99218,0.99447,0.91431,0.46995,0.23316,1.07351,0.0018,0.000247716,0.000247716,0.000247716
88,2991.7,0.50937,0.27667,1.05629,0.00204,0.99663,0.99208,0.99436,0.91586,0.46748,0.22905,1.06858,0.00157,0.000231213,0.000231213,0.000231213
89,3025.69,0.49919,0.27268,1.05427,0.00193,0.99537,0.99218,0.99456,0.91427,0.4663,0.2253,1.06976,0.00149,0.00021471,0.00021471,0.00021471
90,3060.48,0.50501,0.27671,1.05558,0.00173,0.99575,0.99218,0.99447,0.91663,0.4644,0.22769,1.06957,0.00155,0.000198206,0.000198206,0.000198206
91,3111.02,0.45765,0.22597,1.07002,0.00089,0.99551,0.99196,0.99446,0.9147,0.46803,0.23019,1.07132,0.00144,0.000181703,0.000181703,0.000181703
92,3142.14,0.45591,0.22348,1.06414,0.00095,0.99663,0.99182,0.99454,0.91505,0.46658,0.22465,1.07233,0.00209,0.0001652,0.0001652,0.0001652
93,3173.5,0.45434,0.22578,1.06473,0.00097,0.99552,0.99212,0.9944,0.91657,0.46543,0.22643,1.06929,0.00144,0.000148696,0.000148696,0.000148696
94,3205.61,0.45014,0.22299,1.06233,0.00123,0.99548,0.99218,0.9945,0.91488,0.46652,0.22633,1.06991,0.00159,0.000132193,0.000132193,0.000132193
95,3238.26,0.44891,0.2215,1.05751,0.00095,0.99551,0.99198,0.99435,0.91492,0.46462,0.22692,1.06961,0.00167,0.00011569,0.00011569,0.00011569
96,3269.61,0.4431,0.21804,1.05645,0.00086,0.99551,0.992,0.99442,0.91663,0.46564,0.22601,1.06993,0.00151,9.91865e-05,9.91865e-05,9.91865e-05
97,3301.64,0.44216,0.21754,1.05699,0.00108,0.99552,0.99211,0.99441,0.91488,0.46381,0.22784,1.06895,0.00144,8.26832e-05,8.26832e-05,8.26832e-05
98,3333.15,0.43967,0.21603,1.05059,0.00102,0.99549,0.99218,0.99435,0.91789,0.46442,0.22764,1.06771,0.00167,6.61799e-05,6.61799e-05,6.61799e-05
99,3364.41,0.44359,0.21811,1.05432,0.00076,0.99552,0.99208,0.99441,0.91616,0.46232,0.22476,1.06709,0.00143,4.96766e-05,4.96766e-05,4.96766e-05
100,3397.52,0.43954,0.21632,1.05405,0.00106,0.99551,0.99198,0.99444,0.91711,0.46369,0.22432,1.06787,0.0016,3.31733e-05,3.31733e-05,3.31733e-05
