epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0594,1.09782,1.67272,1.86932,0.06348,0.98173,0.9743,0.9885,0.81233,0.72465,0.59335,1.45255,0.01036,0.000550165,0.000550165,0.000550165
2,72.7839,0.90365,0.64109,1.37904,0.03777,0.99212,0.98445,0.99292,0.85035,0.62601,0.41217,1.30451,0.00831,0.00109853,0.00109853,0.00109853
3,105.654,0.8649,0.56267,1.3367,0.03595,0.98755,0.97501,0.98947,0.84506,0.66332,0.49526,1.31111,0.01233,0.00163957,0.00163957,0.00163957
4,140.644,0.8353,0.5326,1.31671,0.03378,0.99241,0.9743,0.99426,0.84395,0.63111,0.3913,1.31584,0.01192,0.00163399,0.00163399,0.00163399
5,169.246,0.8359,0.51844,1.3188,0.03308,0.96096,0.96253,0.98903,0.84859,0.66208,0.40616,1.24819,0.02222,0.00162299,0.00162299,0.00162299
6,198.069,0.8141,0.4868,1.29992,0.03133,0.99324,0.98427,0.99384,0.83806,0.66111,0.37327,1.28692,0.01427,0.00161199,0.00161199,0.00161199
7,230.64,0.81737,0.4842,1.30217,0.0308,0.99331,0.98212,0.99459,0.85568,0.63462,0.37502,1.23721,0.01039,0.00160099,0.00160099,0.00160099
8,260.862,0.80805,0.47473,1.3023,0.02946,0.98891,0.98771,0.99446,0.86502,0.59659,0.35981,1.25147,0.01104,0.00158998,0.00158998,0.00158998
9,292.392,0.79243,0.45048,1.27765,0.02835,0.99433,0.98436,0.994,0.85956,0.6128,0.35574,1.2313,0.01084,0.00157898,0.00157898,0.00157898
10,324.08,0.78171,0.44259,1.26918,0.02972,0.99353,0.98547,0.99298,0.86291,0.60347,0.33665,1.18393,0.00882,0.00156798,0.00156798,0.00156798
11,362.609,0.78483,0.4458,1.25947,0.02718,0.99774,0.98493,0.99433,0.85222,0.60257,0.33334,1.17431,0.01259,0.00155698,0.00155698,0.00155698
12,394.987,0.78052,0.44213,1.25423,0.02472,0.99704,0.98547,0.9944,0.8766,0.57876,0.32756,1.16393,0.01462,0.00154598,0.00154598,0.00154598
13,429.646,0.77095,0.42968,1.25577,0.02552,0.99325,0.98659,0.99405,0.87466,0.58629,0.33188,1.18544,0.00913,0.00153497,0.00153497,0.00153497
14,462.579,0.74813,0.41578,1.23209,0.0257,0.99725,0.98659,0.9941,0.87232,0.57107,0.31481,1.15748,0.00732,0.00152397,0.00152397,0.00152397
15,498.827,0.75585,0.41987,1.23238,0.02435,0.99712,0.98659,0.99463,0.87171,0.58799,0.3446,1.16894,0.01927,0.00151297,0.00151297,0.00151297
16,533.328,0.7494,0.41965,1.22701,0.02374,0.99511,0.98547,0.99455,0.87033,0.57857,0.31225,1.15424,0.00886,0.00150197,0.00150197,0.00150197
17,568.944,0.76098,0.42283,1.24047,0.02515,0.99101,0.98524,0.99442,0.8774,0.57707,0.31932,1.17129,0.01063,0.00149096,0.00149096,0.00149096
18,602.659,0.75477,0.41601,1.24186,0.02443,0.9955,0.98962,0.99449,0.88032,0.55969,0.30822,1.15957,0.00769,0.00147996,0.00147996,0.00147996
19,635.916,0.74664,0.41013,1.23545,0.02392,0.99327,0.9887,0.99436,0.87633,0.57229,0.3081,1.16667,0.00751,0.00146896,0.00146896,0.00146896
20,666.142,0.72685,0.40224,1.21613,0.02381,0.99218,0.99183,0.99446,0.88038,0.57463,0.30739,1.15986,0.0071,0.00145796,0.00145796,0.00145796
21,697.566,0.7253,0.39747,1.21503,0.02457,0.99793,0.98883,0.99471,0.88055,0.55992,0.30221,1.14984,0.0127,0.00144696,0.00144696,0.00144696
22,728.213,0.73646,0.39475,1.22342,0.02444,0.99775,0.98931,0.99451,0.88289,0.55679,0.30743,1.13485,0.00924,0.00143595,0.00143595,0.00143595
23,759.292,0.73227,0.39757,1.21688,0.02192,0.99673,0.98659,0.99442,0.88729,0.55014,0.2921,1.14023,0.00856,0.00142495,0.00142495,0.00142495
24,787.007,0.71271,0.38565,1.20036,0.0216,0.99729,0.98659,0.99455,0.88091,0.55213,0.29317,1.13782,0.00875,0.00141395,0.00141395,0.00141395
25,814.187,0.72204,0.3922,1.20504,0.02205,0.99549,0.9874,0.9938,0.87979,0.56719,0.30512,1.14176,0.0121,0.00140295,0.00140295,0.00140295
26,842.125,0.72201,0.39235,1.20241,0.02208,0.99662,0.989,0.99457,0.88043,0.54493,0.29142,1.15305,0.00846,0.00139195,0.00139195,0.00139195
27,874.612,0.7196,0.38675,1.20575,0.02205,0.99651,0.98994,0.99453,0.89244,0.5349,0.28439,1.1367,0.01061,0.00138094,0.00138094,0.00138094
28,908.056,0.71713,0.38736,1.19692,0.02122,0.9968,0.99106,0.99468,0.88592,0.54835,0.2982,1.14621,0.0078,0.00136994,0.00136994,0.00136994
29,940.066,0.70843,0.37874,1.20538,0.02124,0.99408,0.98883,0.9942,0.89098,0.5386,0.2863,1.13406,0.00962,0.00135894,0.00135894,0.00135894
30,973.257,0.71631,0.37954,1.19797,0.02183,0.99411,0.98883,0.99466,0.89627,0.53114,0.27933,1.13462,0.00646,0.00134794,0.00134794,0.00134794
31,1005.64,0.71226,0.38035,1.20916,0.02239,0.99774,0.98845,0.99465,0.88597,0.54899,0.29144,1.14231,0.00928,0.00133693,0.00133693,0.00133693
32,1037.67,0.69955,0.38053,1.19688,0.01978,0.99329,0.99184,0.99472,0.88256,0.54544,0.28927,1.13952,0.00633,0.00132593,0.00132593,0.00132593
33,1068.03,0.70939,0.38216,1.20411,0.02148,0.99774,0.98756,0.99467,0.89242,0.53734,0.28758,1.13424,0.00997,0.00131493,0.00131493,0.00131493
34,1098.52,0.7097,0.37991,1.20746,0.02127,0.99671,0.98883,0.99467,0.89084,0.53352,0.28771,1.12928,0.00722,0.00130393,0.00130393,0.00130393
35,1131.64,0.70757,0.37711,1.19892,0.02078,0.99723,0.98883,0.99468,0.89233,0.53298,0.29224,1.12417,0.00756,0.00129293,0.00129293,0.00129293
36,1163.11,0.70228,0.37476,1.18811,0.01976,0.9955,0.9898,0.99457,0.89386,0.52655,0.28525,1.12186,0.00979,0.00128192,0.00128192,0.00128192
37,1194.84,0.69215,0.37444,1.18287,0.0204,0.99438,0.98865,0.99467,0.88999,0.52775,0.2844,1.13924,0.0066,0.00127092,0.00127092,0.00127092
38,1226.7,0.69888,0.3752,1.18152,0.02062,0.98747,0.99218,0.99457,0.89792,0.52175,0.28396,1.12332,0.00831,0.00125992,0.00125992,0.00125992
39,1257.93,0.69536,0.37278,1.18611,0.02043,0.99663,0.9905,0.99462,0.89548,0.5256,0.28021,1.1135,0.00576,0.00124892,0.00124892,0.00124892
40,1289.38,0.68796,0.36896,1.18395,0.01979,0.99717,0.98883,0.99453,0.88581,0.53202,0.27335,1.12743,0.00623,0.00123791,0.00123791,0.00123791
41,1320.91,0.6882,0.36547,1.17751,0.01926,0.99438,0.9881,0.9946,0.89568,0.52646,0.27926,1.12698,0.00747,0.00122691,0.00122691,0.00122691
42,1352.49,0.68018,0.3638,1.17158,0.02073,0.9955,0.98902,0.99445,0.89636,0.51662,0.28119,1.11845,0.00689,0.00121591,0.00121591,0.00121591
43,1383.1,0.67953,0.37069,1.17434,0.01829,0.99522,0.99106,0.99464,0.89308,0.52523,0.27235,1.12674,0.00684,0.00120491,0.00120491,0.00120491
44,1413.93,0.66724,0.3579,1.16441,0.01916,0.99693,0.98771,0.99461,0.89409,0.52285,0.28539,1.11949,0.00834,0.00119391,0.00119391,0.00119391
45,1444.49,0.69834,0.37198,1.18998,0.01969,0.99774,0.98785,0.99458,0.90218,0.51289,0.27134,1.11082,0.00751,0.0011829,0.0011829,0.0011829
46,1475.16,0.67801,0.35775,1.17895,0.0202,0.99663,0.99016,0.99462,0.90113,0.51668,0.27617,1.11151,0.01037,0.0011719,0.0011719,0.0011719
47,1506.55,0.67132,0.35857,1.16748,0.01971,0.99758,0.98883,0.99457,0.89577,0.51521,0.26981,1.12037,0.00769,0.0011609,0.0011609,0.0011609
48,1536.74,0.67587,0.36107,1.16988,0.0208,0.99775,0.99003,0.99467,0.90221,0.50951,0.27441,1.11161,0.00758,0.0011499,0.0011499,0.0011499
49,1567.92,0.66359,0.35556,1.1573,0.01891,0.99439,0.99088,0.99456,0.89729,0.51521,0.27207,1.11387,0.0072,0.00113889,0.00113889,0.00113889
50,1598.18,0.67631,0.3637,1.16975,0.01877,0.99744,0.98994,0.99448,0.89871,0.51179,0.26845,1.11438,0.00874,0.00112789,0.00112789,0.00112789
51,1628.14,0.67137,0.35755,1.16476,0.01874,0.99106,0.99099,0.99464,0.90046,0.51314,0.2648,1.11181,0.00735,0.00111689,0.00111689,0.00111689
52,1659.33,0.65109,0.34681,1.15643,0.01787,0.99662,0.98994,0.99453,0.89996,0.50972,0.26775,1.11288,0.00612,0.00110589,0.00110589,0.00110589
53,1690.7,0.65703,0.35009,1.14947,0.01829,0.99662,0.98868,0.99451,0.89846,0.51125,0.26334,1.11018,0.0077,0.00109489,0.00109489,0.00109489
54,1719.99,0.66037,0.34923,1.1571,0.01861,0.99783,0.98883,0.9947,0.89754,0.50744,0.26548,1.11195,0.0066,0.00108388,0.00108388,0.00108388
55,1751.6,0.64643,0.34137,1.14999,0.01827,0.99662,0.98933,0.99457,0.89957,0.50975,0.26492,1.10589,0.00684,0.00107288,0.00107288,0.00107288
