epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,45.825,1.0126,1.4108,1.74711,0.03466,0.99206,0.97711,0.99101,0.82144,0.69357,0.50712,1.32874,0.00424,0.000552902,0.000552902,0.000552902
2,80.4655,0.82361,0.61922,1.31657,0.00849,0.98488,0.98994,0.99359,0.83926,0.65198,0.44149,1.22757,0.00301,0.00109759,0.00109759,0.00109759
3,114.411,0.79291,0.55154,1.28432,0.00794,0.98032,0.97542,0.99349,0.83806,0.65393,0.42188,1.23242,0.00535,0.00163128,0.00163128,0.00163128
4,147.852,0.76422,0.50984,1.26817,0.00741,0.98984,0.98324,0.99169,0.82205,0.66137,0.38114,1.28645,0.0031,0.00161749,0.00161749,0.00161749
5,181.669,0.75275,0.48032,1.25689,0.00658,0.99324,0.98504,0.99315,0.85703,0.61324,0.37052,1.18768,0.0034,0.00160099,0.00160099,0.00160099
6,215.25,0.74782,0.47539,1.24906,0.00617,0.99438,0.98101,0.99359,0.84785,0.63603,0.3547,1.21338,0.00221,0.00158448,0.00158448,0.00158448
7,248.978,0.72536,0.45508,1.234,0.00559,0.99098,0.98214,0.99369,0.86307,0.59785,0.35851,1.17199,0.00241,0.00156798,0.00156798,0.00156798
8,283.319,0.71259,0.44218,1.22452,0.00506,0.99438,0.988,0.9941,0.87812,0.57042,0.34218,1.15603,0.00473,0.00155148,0.00155148,0.00155148
9,316.961,0.70256,0.42271,1.21727,0.00589,0.99528,0.98883,0.99433,0.86703,0.57522,0.33002,1.17181,0.003,0.00153497,0.00153497,0.00153497
10,352.774,0.69948,0.42452,1.21509,0.00578,0.99178,0.98994,0.99465,0.88797,0.56329,0.32721,1.15281,0.00181,0.00151847,0.00151847,0.00151847
11,386.052,0.71693,0.41275,1.22551,0.00523,0.98884,0.98975,0.99453,0.88821,0.53915,0.3094,1.14938,0.0034,0.00150197,0.00150197,0.00150197
12,419.43,0.68694,0.41168,1.20313,0.0048,0.99682,0.99106,0.99463,0.89039,0.54181,0.30069,1.13357,0.00261,0.00148546,0.00148546,0.00148546
13,452.698,0.69393,0.40288,1.21606,0.00408,0.99594,0.98994,0.99469,0.87896,0.56208,0.30275,1.1489,0.00354,0.00146896,0.00146896,0.00146896
14,486.783,0.67216,0.3986,1.18596,0.00398,0.99662,0.98945,0.99425,0.88689,0.53915,0.28875,1.15056,0.00251,0.00145246,0.00145246,0.00145246
15,519.793,0.67548,0.3913,1.18265,0.00341,0.99441,0.98547,0.9945,0.88701,0.55343,0.32021,1.13919,0.00333,0.00143595,0.00143595,0.00143595
16,553.288,0.66925,0.39235,1.1867,0.00496,0.99439,0.99035,0.99462,0.89571,0.53194,0.31669,1.12684,0.00256,0.00141945,0.00141945,0.00141945
17,586.986,0.66856,0.38925,1.19012,0.00415,0.99774,0.98789,0.99457,0.89177,0.54334,0.30255,1.14375,0.00202,0.00140295,0.00140295,0.00140295
18,621.155,0.6599,0.38493,1.18714,0.00423,0.99591,0.98883,0.99461,0.88346,0.54801,0.31642,1.14257,0.00784,0.00138644,0.00138644,0.00138644
19,653.906,0.66506,0.3798,1.189,0.00385,0.99757,0.99106,0.99442,0.89151,0.52969,0.29057,1.13359,0.00169,0.00136994,0.00136994,0.00136994
20,686.07,0.65354,0.37389,1.17399,0.00327,0.99774,0.9878,0.99463,0.89958,0.51489,0.28322,1.11312,0.00251,0.00135344,0.00135344,0.00135344
21,720.469,0.64574,0.37043,1.17237,0.00397,0.99629,0.99218,0.9946,0.89177,0.53787,0.28749,1.13411,0.00175,0.00133693,0.00133693,0.00133693
22,754.555,0.64561,0.37762,1.16648,0.00341,0.99759,0.99106,0.99439,0.89221,0.55467,0.30339,1.13667,0.00176,0.00132043,0.00132043,0.00132043
23,788.454,0.64347,0.36526,1.17221,0.00317,0.99869,0.98324,0.99447,0.89544,0.51902,0.27881,1.12646,0.00145,0.00130393,0.00130393,0.00130393
24,821.632,0.64983,0.3701,1.17415,0.00352,0.99328,0.99078,0.99411,0.89584,0.51957,0.28712,1.118,0.00191,0.00128742,0.00128742,0.00128742
